player_id,day,rating
S812825,92,282.62872509566625
S812825,99,286.13929033807904
S812825,106,292.5336499632981
S812825,112,299.42152156117777
S812825,113,299.9513867688916
S812825,120,307.16973932478743
S812825,127,311.44732949034983
S812825,134,315.07909120512045
S812825,141,320.61973670673456
S812825,148,325.82266895382384
S812825,162,327.3053824815132
S812825,169,328.46481752775935
S812825,176,329.89948757566503
S812825,190,330.1110957959588
S812825,225,340.1490087230917
S812825,239,344.9303313604576
S812825,253,346.63312147418765
S812825,267,347.0829499816902
S812825,281,354.7321361855087
S812825,295,356.90959865326573
S812825,350,352.6439030822866
S812825,456,352.5393154070927
S812825,470,357.1862196763342
S812825,485,363.06450461249085
S812825,498,362.21871206085723
S812825,694,199.97053593961613
S812825,701,197.57681692042394
S773815,92,364.6024047419946
S773815,98,362.65796201888236
S773815,99,362.8974300675559
S773815,106,359.4413461228701
S773815,127,362.12637745364253
S773815,141,362.6531825491829
S773815,148,365.2080430364223
S773815,225,376.78165690117237
S773815,267,384.39139936301615
S824609,92,249.06390474659406
S824609,99,257.7492692363169
S824609,140,271.24486702805297
S811264,92,338.31205779926023
S811264,98,339.94114039295073
S811264,99,339.46685850943123
S811264,106,338.6575125818756
S811264,112,334.5011411999106
S811264,113,333.68560451936514
S811264,120,328.0548481152147
S811264,123,325.20453406018447
S811264,127,322.4187069580984
S811264,141,316.5544710334211
S811264,148,313.4943659390983
S811264,176,311.25873896771185
S811264,350,302.0451291501009
S499287,92,7.222123149839063
S499287,99,1.3762065357700186
S499287,112,-5.539966250744361
S499287,113,-5.948488916969046
S802340,92,590.2501170078118
S802340,98,596.2427735456267
S802340,99,597.5648821825819
S802340,106,609.7436668800015
S802340,112,617.4411399444418
S802340,113,619.1288472988857
S802340,120,630.6624120217997
S802340,123,637.2695579737862
S802340,127,644.1426015818492
S802340,134,656.0956513791936
S802340,140,665.1650268060395
S802340,141,665.1892626427231
S802340,148,665.1778601484878
S802340,154,662.060400655796
S802340,162,652.9616704069131
S802340,169,649.5180789017468
S802340,190,642.4548367163494
S802340,239,647.0628274433356
S802340,253,642.4124885627091
S802340,267,637.9419231208126
S802340,281,633.1725602159275
S802340,295,628.420592866831
S802340,350,622.3472488928905
S802340,456,560.9087032636218
S802340,485,564.8476218785435
S802340,498,565.1758354229029
S802340,512,576.6334898601039
S802340,548,600.391447837714
S802340,652,680.885690504226
S802340,680,680.42822680447
S15439,92,264.0005148367004
S15439,106,262.161106588832
S15439,112,259.9770385614366
S15439,120,257.9144242552648
S15439,281,202.757327807888
S15439,350,182.21674236942852
S153097,92,599.996774152576
S153097,98,601.5732417338389
S153097,99,601.2258007428572
S153097,106,602.0325325609351
S153097,112,600.0572708063698
S153097,113,599.7966031273079
S153097,120,590.2899812954589
S153097,123,586.1284504979202
S153097,140,572.797696802672
S153097,141,572.5392683111004
S153097,148,571.199089532018
S153097,162,564.7101385468369
S153097,176,558.9591749131322
S153097,350,510.5291996102468
S733592,92,554.2796021758243
S733592,99,564.3144537212114
S733592,113,567.7571324288397
S733592,123,572.3011023026006
S733592,127,573.9105433377855
S733592,141,589.1045125251549
S733592,148,594.5003643526512
S733592,154,599.0200757140711
S733592,162,603.5649900067813
S733592,267,672.4946857729735
S733592,281,689.6231484854433
S733592,330,768.8391386822144
S733592,350,787.9552245777131
S733592,435,806.4126299363846
S733592,485,831.769492988454
S733592,548,856.5366205868473
S830262,92,199.44821641914442
S830262,98,204.6338457900085
S830262,99,205.76396900469712
S830262,106,212.16180830925288
S830262,112,219.9217309578233
S830262,113,221.32347979675137
S830262,123,237.37105910512156
