event_id,player1_id,player2_id,winner,day
S521897,S875600,S929825,B,862
S521897,S875600,S296273,B,862
S521897,S296273,S929825,W,862
S521897,S877253,S929825,W,862
S521897,S875600,S877253,B,862
S521897,S929825,S296273,W,862
S521897,S877253,S1063941,B,862
S521897,S929825,S1041169,B,862
S521897,S1063941,S1259790,B,862
S521897,S1113045,S1041169,W,862
S521897,S877501,S877253,W,862
S521897,S929825,S1063941,B,862
S521897,S296273,S824927,B,862
S521897,S875600,S1113045,B,862
S521897,S1063941,S797709,B,862
S521897,S824927,S1259790,W,862
S521897,S1113045,S1843786,B,862
S521897,S877501,S1041169,W,862
S521897,S1107203,S797709,W,862
S521897,S1259790,S1677661,B,862
S521897,S1721999,S1843786,W,862
S521897,S1041169,S1153582,B,862
S521897,S875600,S1677661,B,862
S521897,S1113045,S1259790,B,862
S521897,S877501,S797709,B,862
S521897,S877253,S1152788,B,862
S521897,S929825,S1153582,B,862
S521897,S1063941,S1041169,B,862
S521897,S296273,S1843786,B,862
S521897,S824927,S1721999,B,862
S521897,S1152788,S1107203,W,862
S521897,S797709,S1466323,B,862
S521897,S1259790,S1449041,B,862
S521897,S1677661,S1148248,B,862
S521897,S1721999,S1809282,B,862
S521897,S1843786,S877321,B,862
S521897,S1041169,S1260074,B,862
S521897,S1153582,S875683,B,862
S521897,S1107203,S1727722,B,862
S521897,S1809282,S1217895,B,862
S521897,S877321,S2045175,B,862
S521897,S1260074,S1638615,B,862
S521897,S875683,S1677661,W,862
S521897,S1113045,S1638615,B,862
S521897,S1259790,S1260074,B,862
S521897,S877501,S2045175,B,862
S521897,S797709,S877321,B,862
S521897,S1152788,S1809282,B,862
S521897,S1063941,S1449041,B,862
S521897,S1466323,S1843786,W,862
S521897,S824927,S1727722,B,862
S521897,S1721999,S1107203,B,862
