event_id,player1_id,player2_id,winner,day
S323798,S804800,S898077,B,253
S323798,S802340,S884065,B,253
S323798,S296273,S1039897,B,253
S323798,S875600,S1107203,B,253
S323798,S866548,S241016,B,253
S323798,S877501,S952006,B,253
S323798,S812825,S835387,B,253
S323798,S1039897,S898077,W,253
S323798,S1107203,S835387,W,253
S323798,S884065,S241016,W,253
S323798,S948183,S835387,B,253
S323798,S812825,S952006,B,253
S323798,S866548,S898077,B,253
S323798,S296273,S241016,B,253
S323798,S296273,S804800,W,253
S323798,S877501,S948183,B,253
S323798,S802340,S866548,B,253
S323798,S875600,S812825,B,253
S323798,S866548,S812825,B,253
S323798,S948183,S296273,W,253
S323798,S804800,S866548,W,253
S323798,S802340,S296273,W,253
S323798,S875600,S802340,B,253
S323798,S804800,S877501,W,253
S323798,S296273,S866548,W,253
S323798,S877501,S866548,W,253
S323798,S875600,S877501,B,253
S323798,S875600,S866548,B,253
