event_id,player1_id,player2_id,winner,day
S248397,S419487,S942126,B,134
S248397,S804800,S824886,W,134
S248397,S877501,S582140,B,134
S248397,S797709,S920679,B,134
S248397,S419487,S582140,B,134
S248397,S804800,S329440,B,134
S248397,S884065,S734310,W,134
S248397,S812825,S920679,B,134
S248397,S809195,S884065,W,134
S248397,S419487,S582140,W,134
S248397,S910399,S582140,W,134
S248397,S771108,S296273,W,134
S248397,S157077,S877501,W,134
S248397,S835387,S804800,W,134
S248397,S824886,S296273,W,134
S248397,S771108,S942106,B,134
S248397,S419570,S910399,B,134
S248397,S771108,S296273,W,134
S248397,S942126,S824886,W,134
S248397,S920679,S582140,W,134
S248397,S802340,S157077,B,134
S248397,S877503,S582140,W,134
S248397,S802340,S419487,B,134
S248397,S910399,S812825,W,134
S248397,S910399,S771108,W,134
S248397,S804800,S877501,W,134
S248397,S421875,S942106,W,134
S248397,S802340,S942126,B,134
S248397,S804800,S419487,B,134
S248397,S582140,S728421,B,134
S248397,S797709,S910399,B,134
S248397,S875600,S157077,B,134
S248397,S728421,S877501,W,134
S248397,S797709,S877503,B,134
S248397,S877501,S875600,W,134
S248397,S824886,S797709,B,134
S248397,S771108,S804800,W,134
S248397,S942126,S942106,W,134
S248397,S942106,S802340,W,134
S248397,S419570,S797709,B,134
S248397,S157077,S728421,W,134
S248397,S877501,S942126,B,134
S248397,S942106,S804800,W,134
S248397,S812825,S419487,W,134
S248397,S942126,S771108,W,134
S248397,S419570,S296273,W,134
S248397,S421875,S802340,W,134
S248397,S877503,S812825,W,134
S248397,S419570,S875600,B,134
S248397,S296273,S734310,B,134
S248397,S771108,S877501,W,134
S248397,S812825,S835387,B,134
S248397,S884065,S734310,W,134
S248397,S920679,S910399,B,134
S248397,S812825,S802340,W,134
S248397,S802340,S419570,W,134
S248397,S728421,S910399,B,134
S248397,S802340,S728421,B,134
S248397,S824886,S875600,W,134
S248397,S419487,S734310,B,134
S248397,S804800,S812825,B,134
S248397,S419570,S942106,B,134
S248397,S296273,S771108,B,134
S248397,S582140,S797709,W,134
S248397,S877501,S920679,B,134
S248397,S920679,S812825,W,134
S248397,S728421,S734310,W,134
S248397,S771108,S824886,W,134
S248397,S942106,S582140,W,134
S248397,S419487,S582140,B,134
S248397,S875600,S812825,B,134
S248397,S804800,S824886,W,134
S248397,S797709,S734310,B,134
S248397,S296273,S875600,B,134
S248397,S419570,S797709,B,134
S248397,S802340,S419487,B,134
S248397,S877501,S804800,B,134
S248397,S824886,S419487,B,134
S248397,S797709,S875600,B,134
S248397,S802340,S797709,B,134
S248397,S296273,S824886,B,134
S248397,S296273,S419570,W,134
S248397,S802340,S877501,W,134
S248397,S296273,S802340,W,134
S248397,S877501,S802340,B,134
S248397,S419570,S877501,B,134
S248397,S419570,S877501,W,134
S248397,S877501,S419570,W,134
