event_id,player1_id,player2_id,winner,day
C9300204,C139088815,C140168620,B,974
C9300204,C140381707,C139387969,B,974
C9300204,C139801749,C139088815,B,974
C9300204,C140455988,C140167075,W,974
C9300204,C140446987,C140262092,B,974
C9300204,C140456243,C137702190,B,974
C9300204,C140143569,C140381707,B,974
C9300204,C140291245,C140165366,B,974
C9300204,C140058883,C137882967,B,974
C9300204,C140440706,C140434991,B,974
C9300204,C139801749,C140167075,B,974
C9300204,C140446987,C140456243,W,974
C9300204,C140143569,C140291245,B,974
C9300204,C140058883,C140440706,B,974
C9300204,C139801749,C140456243,B,974
C9300204,C140143569,C140058883,B,974
C9300204,C139801749,C140143569,W,974
C9300204,C140434991,C140168620,B,974
C9300204,C137702190,C139387969,B,974
C9300204,C137882967,C140434991,W,974
C9300204,C140165366,C140381707,B,974
C9300204,C140262092,C137702190,B,974
C9300204,C140455988,C139088815,B,974
C9300204,C140446987,C140434991,B,974
C9300204,C140167075,C140165366,B,974
C9300204,C140440706,C140262092,B,974
C9300204,C140291245,C140455988,B,974
C9300204,C140446987,C140167075,B,974
C9300204,C140440706,C140291245,W,974
C9300204,C140058883,C140446987,B,974
C9300204,C140456243,C140291245,W,974
C9300204,C140058883,C140291245,B,974
C9300204,C139801749,C140058883,B,974
C9300204,C140143569,C139801749,W,974
C9300204,C139801749,C140143569,W,974
