event_id,player1_id,player2_id,winner,day
S225693,S877308,S804800,B,98
S225693,S886903,S877321,W,98
S225693,S507766,S835387,W,98
S225693,S798674,S830262,B,98
S225693,S877501,S894779,B,98
S225693,S771108,S842360,B,98
S225693,S811264,S887385,B,98
S225693,S877501,S886903,B,98
S225693,S877321,S894779,B,98
S225693,S877308,S830262,B,98
S225693,S835387,S887385,W,98
S225693,S773815,S507766,B,98
S225693,S824322,S842360,W,98
S225693,S797709,S877321,B,98
S225693,S296273,S835387,B,98
S225693,S1030534,S824322,B,98
S225693,S802340,S798674,W,98
S225693,S329440,S877501,B,98
S225693,S153097,S771108,B,98
S225693,S773815,S811264,W,98
S225693,S811575,S877308,B,98
S225693,S877501,S842360,B,98
S225693,S804800,S887385,B,98
S225693,S773815,S877308,W,98
S225693,S771108,S877321,W,98
S225693,S329440,S804800,B,98
S225693,S296273,S877501,B,98
S225693,S811264,S877321,B,98
S225693,S797709,S877308,B,98
S225693,S296273,S798674,W,98
S225693,S1030534,S329440,B,98
S225693,S797709,S153097,W,98
S225693,S811575,S811264,B,98
S225693,S797709,S296273,W,98
S225693,S811264,S329440,B,98
S225693,S798674,S811264,B,98
S225693,S811575,S296273,B,98
S225693,S1030534,S811575,B,98
S225693,S798674,S153097,W,98
S225693,S798674,S811575,B,98
S225693,S153097,S798674,B,98
S225693,S1030534,S153097,B,98
S225693,S1030534,S153097,B,98
