event_id,player1_id,player2_id,winner,day
S265099,S296273,S419487,B,162
S265099,S811575,S875600,B,162
S265099,S296273,S811575,B,162
S265099,S877501,S296273,W,162
S265099,S835387,S771108,W,162
S265099,S875600,S884065,B,162
S265099,S804800,S54119,B,162
S265099,S419487,S241016,B,162
S265099,S866548,S842360,B,162
S265099,S373115,S507766,B,162
S265099,S948183,S886903,B,162
S265099,S419570,S877501,B,162
S265099,S948183,S54119,W,162
S265099,S798674,S886903,B,162
S265099,S373115,S842360,B,162
S265099,S866548,S507766,B,162
S265099,S771108,S884065,B,162
S265099,S812825,S241016,B,162
S265099,S419570,S296273,B,162
S265099,S733592,S419487,B,162
S265099,S798674,S804800,W,162
S265099,S296273,S373115,B,162
S265099,S419570,S771108,B,162
S265099,S811575,S812825,B,162
S265099,S877501,S948183,B,162
S265099,S153097,S866548,B,162
S265099,S802340,S875600,W,162
S265099,S798674,S771108,B,162
S265099,S802340,S54119,B,162
S265099,S419487,S373115,B,162
S265099,S866548,S812825,B,162
S265099,S804800,S419487,W,162
S265099,S875600,S866548,B,162
S265099,S733592,S798674,B,162
S265099,S153097,S802340,B,162
S265099,S877501,S875600,B,162
S265099,S296273,S733592,B,162
S265099,S419570,S804800,B,162
S265099,S811575,S153097,B,162
S265099,S153097,S419487,W,162
S265099,S875600,S733592,B,162
S265099,S419570,S811575,B,162
S265099,S296273,S877501,W,162
