event_id,player1_id,player2_id,winner,day
S469993,S875600,S824927,B,652
S469993,S866548,S1259790,W,652
S469993,S296273,S898077,B,652
S469993,S1677661,S1582596,W,652
S469993,S1063941,S1454434,B,652
S469993,S929825,S405024,B,652
S469993,S802340,S1721999,B,652
S469993,S1011138,S952006,W,652
S469993,S405024,S1721999,B,652
S469993,S875600,S296273,B,652
S469993,S296273,S948183,B,652
S469993,S875600,S1259099,B,652
S469993,S866548,S1152788,W,652
S469993,S1063941,S1259790,W,652
S469993,S1677661,S898077,W,652
S469993,S929825,S802340,W,652
S469993,S1011138,S405024,W,652
S469993,S952006,S1721999,W,652
S469993,S405024,S1063941,B,652
S469993,S1152788,S1721999,W,652
S469993,S875600,S296273,B,652
S469993,S296273,S1677661,B,652
S469993,S866548,S1063941,B,652
S469993,S1260074,S1259099,W,652
S469993,S1454434,S1152788,W,652
S469993,S1582596,S948183,W,652
S469993,S952006,S802340,W,652
S469993,S1721999,S405024,W,652
S469993,S296273,S929825,B,652
S469993,S929825,S802340,B,652
S469993,S405024,S952006,B,652
S469993,S1582596,S1063941,W,652
S469993,S1152788,S1677661,B,652
S469993,S875600,S802340,B,652
S469993,S824927,S1721999,W,652
S469993,S296273,S929825,B,652
S469993,S866548,S1454434,B,652
S469993,S296273,S1582596,B,652
S469993,S875600,S1260074,B,652
S469993,S929825,S952006,B,652
S469993,S824927,S1259099,W,652
S469993,S1259790,S1152788,B,652
S469993,S898077,S948183,B,652
S469993,S405024,S802340,W,652
S469993,S929825,S898077,B,652
S469993,S802340,S1259790,B,652
S469993,S898077,S866548,B,652
S469993,S1259099,S1259790,W,652
S469993,S952006,S1260074,B,652
S469993,S875600,S898077,B,652
S469993,S802340,S866548,B,652
S469993,S296273,S1259099,B,652
S469993,S1259790,S929825,W,652
S469993,S929825,S1721999,B,652
S469993,S898077,S1582596,B,652
S469993,S1259790,S1454434,B,652
S469993,S824927,S1260074,B,652
S469993,S1259099,S1148248,B,652
S469993,S1152788,S1063941,W,652
S469993,S405024,S952006,B,652
S469993,S948183,S1677661,B,652
S469993,S802340,S1011138,B,652
