event_id,player1_id,player2_id,winner,day
S231973,S802340,S264601,B,106
S231973,S877501,S872551,B,106
S231973,S153097,S734310,B,106
S231973,S1245341,S842360,B,106
S231973,S812825,S886903,W,106
S231973,S849329,S887385,B,106
S231973,S773815,S259655,B,106
S231973,S877321,S906275,B,106
S231973,S875600,S804800,W,106
S231973,S15439,S11131,B,106
S231973,S771108,S507766,B,106
S231973,S811264,S830262,B,106
S231973,S797709,S904551,B,106
S231973,S872551,S830262,W,106
S231973,S904551,S812825,W,106
S231973,S734310,S887385,W,106
S231973,S11131,S259655,W,106
S231973,S264601,S842360,B,106
S231973,S894779,S507766,W,106
S231973,S877321,S264601,W,106
S231973,S886903,S259655,W,106
S231973,S811264,S507766,B,106
S231973,S804800,S887385,B,106
S231973,S849329,S875600,B,106
S231973,S1245341,S906275,B,106
S231973,S771108,S830262,B,106
S231973,S773815,S812825,W,106
S231973,S811575,S771108,B,106
S231973,S153097,S849329,B,106
S231973,S296273,S877321,B,106
S231973,S419570,S804800,B,106
S231973,S802340,S1245341,B,106
S231973,S797709,S886903,B,106
S231973,S877501,S811264,B,106
S231973,S15439,S773815,B,106
S231973,S812825,S804800,W,106
S231973,S849329,S259655,B,106
S231973,S1245341,S771108,B,106
S231973,S811264,S264601,B,106
S231973,S797709,S1245341,B,106
S231973,S877501,S804800,B,106
S231973,S15439,S811264,W,106
S231973,S811575,S849329,B,106
S231973,S296273,S877501,B,106
S231973,S419570,S15439,B,106
S231973,S811575,S802340,W,106
S231973,S797709,S153097,W,106
S231973,S811575,S811264,B,106
S231973,S797709,S877501,B,106
S231973,S296273,S811575,W,106
S231973,S802340,S797709,B,106
S231973,S419570,S802340,B,106
S231973,S296273,S153097,W,106
S231973,S811575,S802340,B,106
S231973,S153097,S811575,W,106
S231973,S419570,S153097,B,106
S231973,S419570,S811575,B,106
