event_id,player1_id,player2_id,winner,day
S569209,S1063941,S1878221,W,1030
S569209,S1878221,S1063941,B,1030
S569209,S1878221,S1063941,W,1030
S569209,S1878221,S929825,B,1030
S569209,S898077,S929825,W,1030
S569209,S1878221,S898077,B,1030
S569209,S1063941,S1259790,B,1030
S569209,S1259790,S929825,W,1030
S569209,S898077,S824927,B,1030
S569209,S824927,S1919702,B,1030
S569209,S1259099,S929825,W,1030
S569209,S929825,S1878221,W,1030
S569209,S898077,S1259099,B,1030
S569209,S1063941,S1919702,B,1030
S569209,S1259790,S824927,B,1030
S569209,S824927,S1843786,B,1030
S569209,S1919702,S2227808,B,1030
S569209,S1259099,S1721999,B,1030
S569209,S929825,S2060849,B,1030
S569209,S804769,S2227808,W,1030
S569209,S733512,S1721999,W,1030
S569209,S2250383,S2060849,W,1030
S569209,S1843786,S1878221,W,1030
S569209,S898077,S804769,B,1030
S569209,S1259099,S2227808,B,1030
S569209,S1063941,S733512,B,1030
S569209,S1721999,S1919702,W,1030
S569209,S1259790,S2250383,B,1030
S569209,S824927,S2060849,B,1030
