event_id,player1_id,player2_id,winner,day
S576772,S1878221,S929825,W,1072
S576772,S929825,S1878221,B,1072
S576772,S1878221,S929825,B,1072
S576772,S929825,S1063941,B,1072
S576772,S1063941,S875600,B,1072
S576772,S875600,S1878221,W,1072
S576772,S929825,S1063941,B,1072
S576772,S1063941,S877501,B,1072
S576772,S875600,S1843786,B,1072
S576772,S877501,S1677661,B,1072
S576772,S1843786,S1584255,B,1072
S576772,S875600,S1677661,B,1072
S576772,S1878221,S877501,B,1072
S576772,S929825,S803914,B,1072
S576772,S1063941,S1843786,B,1072
S576772,S877501,S1107203,B,1072
S576772,S1677661,S1148248,B,1072
S576772,S1843786,S1919702,B,1072
S576772,S803914,S1584255,W,1072
S576772,S1107203,S2284186,B,1072
S576772,S1878221,S1919702,B,1072
S576772,S877501,S1235295,B,1072
S576772,S1063941,S2284186,B,1072
S576772,S1148248,S1235295,W,1072
