event_id,player1_id,player2_id,winner,day
C7453651,C105677281,C105669947,B,456
C7453651,C105656521,C105964270,B,456
C7453651,C105962886,C105642251,B,456
C7453651,C105828605,C105960969,W,456
C7453651,C105806128,C105963851,B,456
C7453651,C105638687,C105677281,B,456
C7453651,C105635165,C105952954,B,456
C7453651,C105637494,C105656521,B,456
C7453651,C105781624,C105962886,B,456
C7453651,C105759168,C105960969,B,456
C7453651,C105702926,C105940260,B,456
C7453651,C105635893,C105806128,B,456
C7453651,C105635170,C105760412,B,456
C7453651,C105638687,C105635165,B,456
C7453651,C105637494,C105781624,W,456
C7453651,C105759168,C105702926,B,456
C7453651,C105635893,C105635170,B,456
C7453651,C105638687,C105781624,B,456
C7453651,C105759168,C105635893,B,456
C7453651,C105638687,C105759168,W,456
C7453651,C105760412,C105669947,W,456
C7453651,C105940260,C105964270,B,456
C7453651,C105960969,C105642251,B,456
C7453651,C105962886,C105828605,W,456
C7453651,C105952954,C105963851,B,456
C7453651,C105806128,C105669947,B,456
C7453651,C105940260,C105960969,B,456
C7453651,C105656521,C105828605,B,456
C7453651,C105952954,C105677281,W,456
C7453651,C105637494,C105806128,W,456
C7453651,C105635165,C105940260,B,456
C7453651,C105702926,C105677281,W,456
C7453651,C105806128,C105635165,W,456
C7453651,C105656521,C105677281,B,456
C7453651,C105635893,C105635165,B,456
C7453651,C105781624,C105656521,W,456
C7453651,C105635893,C105656521,B,456
C7453651,C105638687,C105635893,B,456
C7453651,C105759168,C105638687,W,456
C7453651,C105638687,C105759168,B,456
